Feature,SHAP_Importance,Rank_SHAP,LGBM_Importance,Feature_Category
BUREAU_DEBT_RATIO_MEAN,0.03272160636816602,37,0,Bureau History
EXT_SOURCE_2,0.03264227813509259,38,0,EXT_SOURCE
ID_PUBLISH_YEARS,0.03198348745114947,39,0,Time/Age
PREV_AMT_DOWN_PAYMENT_SUM,0.03196207139025391,40,2,Previous Loan
ANNUITY_INCOME_RATIO,0.030589933497043857,41,0,Financial Ratio
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.030519360842401304,42,0,POS/CC History
BUREAU_AMT_CREDIT_SUM_SUM,0.030322431374625463,43,0,Bureau History
CC_AMT_DRAWINGS_CURRENT_MEAN,0.030107707193052977,44,0,POS/CC History
CC_UTIL_RATIO_MAX,0.028960664079718982,45,0,POS/CC History
EMPLOYED_YEARS,0.02788789443515167,46,3,Time/Age
POS_MONTHS_BALANCE_MIN,0.026895552449335686,47,0,POS/CC History
EXT_SOURCE_3,0.026775074170730793,48,0,EXT_SOURCE
INST_AMT_INSTALMENT_SUM,0.02672980738294433,49,0,Installment
CC_UTIL_RATIO_MEAN,0.02604366294892286,50,1,POS/CC History
OCCUPATION_TYPE,0.02602566551428055,51,0,Other
FLAG_WORK_PHONE,0.025216720280739718,52,0,Risk Flag
AMT_CREDIT,0.024762417482735624,53,0,Financial Ratio
REGION_RATING_CLIENT_W_CITY,0.024603049540814742,54,0,Other
AMT_REQ_CREDIT_BUREAU_QRT,0.02402429211109087,55,0,Bureau History
DAYS_ID_PUBLISH,0.024020271939903717,56,0,Time/Age
EXT_SOURCE_MAX,0.023959177683261904,57,1,EXT_SOURCE
INST_SK_ID_PREV_COUNT,0.022416164450785453,58,0,Previous Loan
DEF_30_CNT_SOCIAL_CIRCLE,0.020165364115549204,59,0,Other
DAYS_LAST_PHONE_CHANGE,0.019953440993695955,60,0,Time/Age
BUREAU_DAYS_CREDIT_MEAN,0.019677780199798545,61,0,Time/Age
INCOME_PER_PERSON,0.01947070362829531,62,0,Financial Ratio
BUREAU_AMT_CREDIT_SUM_MEAN,0.018533800598876736,63,0,Bureau History
BUREAU_DAYS_CREDIT_MAX,0.018284007966890156,64,0,Time/Age
WEEKDAY_APPR_PROCESS_START,0.017009838590836955,65,0,Other
PREV_CNT_PAYMENT_SUM,0.01655531621668534,66,0,Previous Loan
EXT3_CREDIT,0.01637559839681365,67,0,Financial Ratio
BUREAU_TOTAL_DEBT_RATIO,0.015879592497867214,68,0,Bureau History
PREV_DAYS_DECISION_MAX,0.015547515667926212,69,0,Time/Age
POS_HAS_DPD_DEF_MEAN,0.015254527916009397,70,0,POS/CC History
EXT_SOURCE_MIN,0.014534289571749971,71,0,EXT_SOURCE
BUREAU_BB_MONTHS_BALANCE_COUNT_MEAN,0.014091027693343458,72,0,Bureau History
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.014081868438081326,73,0,Bureau History
CREDIT_TERM_YEARS,0.014055624848905377,74,0,Time/Age
INST_AMT_PAYMENT_MEAN,0.013766556636462307,75,1,Installment
PREV_AMT_CREDIT_MAX,0.013274652237999953,76,0,Previous Loan
HOUR_APPR_PROCESS_START,0.012745185954809626,77,0,Other
REG_CITY_NOT_LIVE_CITY,0.012594227228809292,78,0,Other
BUREAU_DAYS_CREDIT_MIN,0.012465666666732732,79,0,Time/Age
BUREAU_BB_MONTHS_BALANCE_MIN_MAX,0.0121277219524923,80,0,Bureau History
BUREAU_IS_ACTIVE_SUM,0.011758084402238213,81,0,Bureau History
EXT2_AGE,0.011502565902302022,82,0,Time/Age
PREV_DAYS_DECISION_MIN,0.011356923321180256,83,0,Time/Age
DEF_60_CNT_SOCIAL_CIRCLE,0.011168649103919142,84,0,Other
CC_SK_ID_PREV_COUNT,0.011144248155894154,85,0,Previous Loan
CC_AMT_BALANCE_MAX,0.011032056397814297,86,0,POS/CC History
POS_MONTHS_BALANCE_COUNT,0.010816060602195724,87,0,POS/CC History
CREDIT_PER_CHILD,0.010707814045704676,88,0,Financial Ratio
INST_DAYS_LATE_SUM,0.010651724152911888,89,0,Time/Age
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,0.010280458127661034,90,0,Bureau History
DAYS_REGISTRATION,0.009887845433967465,91,0,Time/Age
NAME_CONTRACT_TYPE,0.009885701178818967,92,0,Other
CREDIT_INCOME_RATIO,0.009174378243001342,93,0,Financial Ratio
PREV_AMT_APPLICATION_MEAN,0.00911690172598914,94,0,Previous Loan
PREV_AMT_DOWN_PAYMENT_MEAN,0.008892660340166187,95,0,Previous Loan
FLAG_PHONE,0.008725666819173873,96,0,Risk Flag
INST_PAYMENT_RATIO_MIN,0.008656065906072475,97,0,Installment
CC_AMT_BALANCE_MEAN,0.008646879231792595,98,0,POS/CC History
BUREAU_COUNT,0.008342080295491276,99,0,Bureau History
PREV_DAYS_DECISION_MEAN,0.007703743641992215,100,0,Time/Age
INST_DAYS_LATE_MAX,0.007558398955171199,101,0,Time/Age
INST_PAYMENT_RATIO_MEAN,0.007457344047346604,102,0,Installment
PREV_DOWN_PAYMENT_RATIO_MEAN,0.00736236896028482,103,0,Previous Loan
EXT_SOURCE_1_MISSING,0.00734975100249006,104,0,EXT_SOURCE
INST_AMT_INSTALMENT_MEAN,0.007183839447762831,105,0,Installment
YEARS_BEGINEXPLUATATION_MEDI,0.007021140651959565,106,0,Time/Age
REGISTRATION_YEARS,0.00700760574019918,107,0,Time/Age
PREV_IS_APPROVED_MEAN,0.006746965043757751,108,0,Previous Loan
BUREAU_IS_ACTIVE_MEAN,0.006519724821819943,109,0,Bureau History
CC_AMT_BALANCE_SUM,0.006478801067537327,110,0,POS/CC History
PAYMENT_BURDEN,0.0064077801809541,111,0,Other
POS_CNT_INSTALMENT_SUM,0.006407769502929031,112,0,POS/CC History
PREV_IS_CANCELED_MEAN,0.00636059911889638,113,0,Previous Loan
TOTALAREA_MODE,0.006227105923569506,114,0,Other
AMT_INCOME_TOTAL,0.006154806640890186,115,0,Financial Ratio
